"blackfriday","sale","thanksgiving","brk","holiday","christmas","eve","gift","electronic","inception"
"1",0,0,0,0,0,0,0,0,1,"Thu Nov 22 15:50:15 +0000 2018"
"2",0,0,0,0,0,0,0,0,1,"Thu Nov 22 15:55:16 +0000 2018"
"3",0,0,0,0,0,0,0,0,0,"Thu Nov 22 16:00:17 +0000 2018"
"4",0,0,0,0,0,0,0,0,1,"Thu Nov 22 16:05:18 +0000 2018"
"5",0,0,0,0,0,0,0,0,1,"Thu Nov 22 16:10:19 +0000 2018"
"6",0,1,0,0,0,0,0,0,1,"Thu Nov 22 16:15:20 +0000 2018"
"7",0,0,0,0,0,0,0,0,1,"Thu Nov 22 16:20:21 +0000 2018"
"8",0,0,0,0,0,0,0,0,0,"Thu Nov 22 16:25:22 +0000 2018"
"9",0,0,0,0,0,0,0,0,0,"Thu Nov 22 16:30:23 +0000 2018"
"10",0,0,0,0,0,0,0,0,0,"Thu Nov 22 16:35:24 +0000 2018"
"11",0,0,0,0,0,0,0,0,1,"Thu Nov 22 16:40:25 +0000 2018"
"12",0,0,0,0,0,0,0,0,0,"Thu Nov 22 16:45:26 +0000 2018"
"13",0,0,0,0,0,0,0,0,1,"Thu Nov 22 16:50:27 +0000 2018"
"14",0,0,0,0,0,0,0,0,0,"Thu Nov 22 16:55:28 +0000 2018"
"15",0,0,0,0,0,0,0,0,1,"Thu Nov 22 17:00:29 +0000 2018"
"16",0,0,0,0,0,0,0,0,1,"Thu Nov 22 17:05:30 +0000 2018"
"17",0,0,0,0,0,0,0,0,0,"Thu Nov 22 17:10:31 +0000 2018"
"18",0,0,0,0,0,0,0,0,0,"Thu Nov 22 17:15:32 +0000 2018"
"19",0,0,0,0,0,0,0,0,0,"Thu Nov 22 17:20:33 +0000 2018"
"20",0,0,0,0,0,0,0,0,0,"Thu Nov 22 17:25:34 +0000 2018"
"21",0,0,0,0,0,0,0,0,1,"Thu Nov 22 17:30:35 +0000 2018"
"22",0,0,0,0,0,0,0,0,0,"Thu Nov 22 17:35:36 +0000 2018"
"23",0,0,0,0,0,0,0,0,0,"Thu Nov 22 17:40:37 +0000 2018"
"24",0,0,0,0,0,0,0,0,1,"Thu Nov 22 17:45:38 +0000 2018"
"25",0,0,0,0,0,0,0,0,0,"Thu Nov 22 17:50:39 +0000 2018"
"26",0,0,0,0,0,0,0,0,1,"Thu Nov 22 17:55:40 +0000 2018"
"27",0,0,0,0,0,0,0,0,1,"Thu Nov 22 18:00:41 +0000 2018"
"28",0,0,0,0,0,0,0,0,0,"Thu Nov 22 18:05:42 +0000 2018"
"29",0,0,0,0,0,0,0,0,0,"Thu Nov 22 18:10:43 +0000 2018"
"30",0,0,0,0,0,0,0,0,0,"Thu Nov 22 18:15:44 +0000 2018"
"31",0,0,0,0,0,0,0,0,1,"Thu Nov 22 18:20:45 +0000 2018"
"32",0,0,0,0,0,0,0,0,0,"Thu Nov 22 18:25:46 +0000 2018"
"33",0,0,0,0,0,0,0,0,0,"Thu Nov 22 18:30:47 +0000 2018"
"34",0,0,0,0,0,0,0,0,0,"Thu Nov 22 18:35:48 +0000 2018"
"35",0,0,0,0,0,0,0,0,0,"Thu Nov 22 18:40:49 +0000 2018"
"36",0,0,0,0,0,0,0,0,1,"Thu Nov 22 18:45:50 +0000 2018"
"37",0,0,0,0,0,0,0,0,1,"Thu Nov 22 18:50:51 +0000 2018"
"38",0,0,0,0,0,0,0,0,0,"Thu Nov 22 18:55:52 +0000 2018"
"39",0,0,0,0,0,0,0,0,0,"Thu Nov 22 19:00:53 +0000 2018"
"40",0,0,0,0,0,0,0,0,0,"Thu Nov 22 19:13:52 +0000 2018"
"41",0,0,0,0,0,0,0,0,1,"Thu Nov 22 19:18:53 +0000 2018"
"42",0,0,0,0,0,0,0,0,0,"Thu Nov 22 19:23:54 +0000 2018"
"43",0,0,0,0,0,0,0,0,0,"Thu Nov 22 19:28:55 +0000 2018"
"44",0,0,0,0,0,0,0,0,0,"Thu Nov 22 19:33:56 +0000 2018"
"45",0,0,0,0,0,0,0,0,0,"Thu Nov 22 19:38:57 +0000 2018"
"46",0,0,0,0,0,0,0,0,1,"Thu Nov 22 19:43:58 +0000 2018"
"47",0,0,0,0,0,0,0,0,1,"Thu Nov 22 19:48:59 +0000 2018"
"48",0,0,0,0,0,0,0,0,0,"Thu Nov 22 19:54:00 +0000 2018"
"49",0,0,0,0,0,0,0,0,1,"Thu Nov 22 19:59:01 +0000 2018"
"50",0,0,0,0,0,0,0,0,0,"Thu Nov 22 20:05:22 +0000 2018"
"51",0,0,0,0,0,0,0,0,1,"Thu Nov 22 20:10:23 +0000 2018"
"52",0,0,0,0,0,0,0,0,0,"Thu Nov 22 20:15:24 +0000 2018"
"53",0,0,0,0,0,0,0,0,0,"Thu Nov 22 20:20:25 +0000 2018"
"54",0,0,0,0,0,0,0,0,0,"Thu Nov 22 20:25:26 +0000 2018"
"55",0,0,0,0,0,0,0,0,0,"Thu Nov 22 20:30:27 +0000 2018"
"56",0,0,0,0,0,0,0,0,1,"Thu Nov 22 20:35:28 +0000 2018"
"57",0,0,0,0,0,0,0,0,0,"Thu Nov 22 20:40:29 +0000 2018"
"58",0,0,0,0,0,0,0,0,1,"Thu Nov 22 20:45:30 +0000 2018"
"59",0,0,0,0,0,0,0,0,0,"Thu Nov 22 20:50:31 +0000 2018"
"60",0,0,0,0,0,0,0,0,0,"Thu Nov 22 20:55:32 +0000 2018"
"61",0,0,0,0,0,0,0,0,1,"Thu Nov 22 21:00:33 +0000 2018"
"62",0,0,0,0,0,0,0,0,0,"Thu Nov 22 21:05:34 +0000 2018"
"63",0,0,0,0,0,0,0,0,0,"Thu Nov 22 21:10:35 +0000 2018"
"64",0,0,0,0,0,0,0,0,1,"Thu Nov 22 21:15:36 +0000 2018"
"65",0,0,0,0,0,0,0,0,0,"Thu Nov 22 21:20:37 +0000 2018"
"66",0,0,0,0,0,0,1,0,1,"Thu Nov 22 21:25:38 +0000 2018"
"67",0,0,0,0,0,0,0,0,0,"Thu Nov 22 21:30:39 +0000 2018"
"68",0,0,0,0,0,0,0,0,0,"Thu Nov 22 21:35:40 +0000 2018"
"69",0,0,0,0,0,0,0,0,0,"Thu Nov 22 21:40:41 +0000 2018"
"70",0,0,0,0,0,0,0,0,0,"Thu Nov 22 21:45:42 +0000 2018"
"71",0,0,0,0,0,0,0,0,1,"Thu Nov 22 21:50:43 +0000 2018"
"72",0,0,0,0,0,0,0,0,0,"Thu Nov 22 21:55:44 +0000 2018"
"73",0,0,0,0,0,0,0,0,0,"Thu Nov 22 22:00:45 +0000 2018"
"74",0,0,0,0,0,0,0,0,0,"Thu Nov 22 22:05:46 +0000 2018"
"75",0,0,0,0,0,0,0,0,0,"Thu Nov 22 22:10:47 +0000 2018"
"76",0,0,0,0,0,0,0,0,1,"Thu Nov 22 22:15:48 +0000 2018"
"77",0,0,0,0,0,0,0,0,0,"Thu Nov 22 22:20:49 +0000 2018"
"78",0,0,0,0,0,0,0,0,0,"Thu Nov 22 22:25:50 +0000 2018"
"79",0,0,0,0,0,0,0,0,1,"Thu Nov 22 22:30:51 +0000 2018"
"80",0,0,0,0,0,0,0,0,0,"Thu Nov 22 22:35:52 +0000 2018"
"81",0,0,0,0,0,0,0,0,1,"Thu Nov 22 22:40:53 +0000 2018"
"82",0,0,0,0,0,0,0,0,0,"Thu Nov 22 22:45:54 +0000 2018"
"83",0,0,0,0,0,0,0,0,0,"Thu Nov 22 22:50:55 +0000 2018"
"84",0,0,0,0,0,0,0,0,0,"Thu Nov 22 22:55:56 +0000 2018"
"85",0,0,0,0,0,0,0,0,0,"Thu Nov 22 23:00:57 +0000 2018"
"86",0,0,0,0,0,0,0,0,1,"Thu Nov 22 23:05:58 +0000 2018"
"87",0,0,0,0,0,0,0,0,0,"Thu Nov 22 23:10:59 +0000 2018"
"88",0,0,0,0,0,0,0,0,0,"Thu Nov 22 23:16:00 +0000 2018"
"89",0,0,0,0,0,0,0,0,0,"Thu Nov 22 23:21:01 +0000 2018"
"90",0,0,0,0,0,0,0,0,0,"Thu Nov 22 23:26:02 +0000 2018"
"91",0,0,0,0,0,0,0,0,1,"Thu Nov 22 23:31:03 +0000 2018"
"92",0,0,0,0,0,0,0,0,0,"Thu Nov 22 23:36:04 +0000 2018"
"93",0,0,0,0,0,0,0,0,0,"Thu Nov 22 23:41:05 +0000 2018"
"94",0,0,0,0,0,0,0,0,1,"Thu Nov 22 23:46:06 +0000 2018"
"95",0,0,0,0,0,0,0,0,0,"Thu Nov 22 23:51:07 +0000 2018"
"96",0,0,0,0,0,0,0,0,1,"Thu Nov 22 23:56:08 +0000 2018"
"97",0,0,0,0,0,0,0,0,0,"Fri Nov 23 00:01:09 +0000 2018"
"98",0,0,0,0,0,0,0,0,0,"Fri Nov 23 00:06:10 +0000 2018"
"99",0,0,0,0,0,0,0,0,0,"Fri Nov 23 00:11:11 +0000 2018"
"100",0,0,0,0,0,0,0,0,1,"Fri Nov 23 00:16:12 +0000 2018"
"101",0,0,0,0,0,0,0,0,1,"Fri Nov 23 00:21:13 +0000 2018"
"102",0,0,0,0,0,0,0,0,0,"Fri Nov 23 00:26:14 +0000 2018"
"103",0,0,0,0,0,0,0,0,0,"Fri Nov 23 00:31:15 +0000 2018"
"104",0,0,0,0,0,0,0,0,0,"Fri Nov 23 00:36:16 +0000 2018"
